count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
273,0.268402,-0.13,-0.138,-2.645,0.00174,-0.00405,-0.0013,0
274,0.269378,-0.12,-0.098,-2.663,0.00157,-0.0041,-0.00117,0
275,0.270352,-0.126,-0.102,-2.663,0.00171,-0.00421,-0.00133,0
276,0.271326,-0.108,-0.117,-2.648,0.00171,-0.00422,-0.00186,0
277,0.272317,-0.097,-0.132,-2.668,0.00169,-0.00417,-0.00167,0
278,0.273308,-0.117,-0.131,-2.68,0.00172,-0.00411,-0.0021,0
279,0.274284,-0.107,-0.105,-2.66,0.00163,-0.00424,-0.00191,0
280,0.275258,-0.109,-0.134,-2.688,0.00176,-0.00429,-0.00151,0
281,0.276232,-0.103,-0.114,-2.69,0.00163,-0.0043,-0.00169,0
282,0.277223,-0.1,-0.143,-2.647,0.00168,-0.00413,-0.00177,0
283,0.278214,-0.129,-0.126,-2.633,0.00163,-0.00419,-0.0019,0
284,0.27919,-0.115,-0.119,-2.646,0.00178,-0.00426,-0.0014,0
285,0.280164,-0.113,-0.11,-2.65,0.00164,-0.00422,-0.0012,0
286,0.281138,-0.124,-0.098,-2.639,0.00165,-0.00428,-0.00173,0
287,0.282129,-0.108,-0.115,-2.65,0.00182,-0.00397,-0.00132,0
288,0.28312,-0.124,-0.134,-2.645,0.00178,-0.00406,-0.00158,0
289,0.284096,-0.128,-0.106,-2.651,0.00179,-0.00414,-0.0021,0
290,0.28507,-0.118,-0.088,-2.663,0.00176,-0.00421,-0.0015,0
291,0.286044,-0.132,-0.112,-2.63,0.00169,-0.00418,-0.00206,0
292,0.287035,-0.117,-0.111,-2.646,0.00163,-0.0042,-0.00183,0
293,0.288026,-0.126,-0.096,-2.661,0.00159,-0.00429,-0.00218,0
294,0.289002,-0.12,-0.111,-2.642,0.00157,-0.00416,-0.00204,0
295,0.289976,-0.117,-0.11,-2.626,0.0017,-0.00422,-0.0024,0
